guests,nights,budget_min,budget_max,recommended_room_type
1,1,0,200,standard
1,1,200,350,deluxe
1,2,0,200,standard
1,2,200,400,deluxe
2,1,0,250,standard
2,1,250,350,deluxe
2,2,0,300,standard
2,2,300,450,deluxe
2,3,0,400,standard
2,3,400,600,deluxe
2,3,600,900,suite
2,3,900,2000,villa
2,5,0,500,standard
2,5,500,800,deluxe
2,5,800,1500,suite
2,7,0,600,standard
2,7,600,1000,deluxe
2,7,1000,2000,suite
3,1,0,400,deluxe
3,2,0,500,deluxe
3,2,500,700,suite
3,3,0,600,deluxe
3,3,600,900,suite
3,4,0,800,deluxe
3,4,800,1200,suite
4,1,0,600,suite
4,2,0,800,suite
4,2,800,1200,villa
4,3,0,1000,suite
4,3,1000,1500,villa
4,5,0,1200,suite
4,5,1200,2500,villa
5,2,0,1000,villa
5,3,0,1500,villa
6,1,0,900,villa
6,2,0,1200,villa
6,3,0,2000,villa
2,1,350,600,cabin
2,2,350,650,cabin
2,2,650,900,suite
2,4,350,700,cabin
2,4,700,1000,suite
1,1,350,600,cabin
1,2,400,700,cabin
2,1,900,2000,villa
2,2,1200,2500,villa
3,1,900,1500,villa
3,2,1000,2000,villa
4,1,1200,2500,villa
2,1,0,150,standard
2,2,0,200,standard
2,2,200,300,deluxe
2,3,0,280,standard
2,3,280,450,deluxe
2,3,450,600,suite
2,4,0,400,standard
2,4,400,700,deluxe
2,4,700,1000,suite
2,4,1000,2000,villa
3,5,0,900,suite
3,5,900,2000,villa
4,6,0,1200,suite
4,6,1200,2500,villa
5,4,0,1500,villa
6,4,0,2200,villa
2,6,0,500,standard
2,6,500,900,deluxe
2,6,900,1800,suite
1,3,0,250,standard
1,3,250,500,deluxe
1,4,0,300,standard
1,4,300,650,deluxe
1,5,0,320,standard
1,5,320,700,deluxe
1,6,0,380,standard
1,6,380,780,deluxe
1,7,0,450,standard
1,7,450,900,deluxe
2,1,150,260,standard
2,1,260,420,deluxe
2,1,420,700,cabin
2,2,150,320,standard
2,2,320,520,deluxe
2,2,520,820,cabin
2,3,150,360,standard
2,3,360,600,deluxe
2,3,600,950,suite
2,4,150,420,standard
2,4,420,700,deluxe
2,4,700,1100,suite
2,5,150,480,standard
2,5,480,820,deluxe
2,5,820,1300,suite
2,6,150,520,standard
2,6,520,900,deluxe
2,6,900,1500,suite
3,1,250,450,deluxe
3,1,450,760,suite
3,1,760,1300,villa
3,2,250,520,deluxe
3,2,520,840,suite
3,2,840,1400,villa
3,3,250,600,deluxe
3,3,600,950,suite
3,3,950,1600,villa
3,4,250,700,deluxe
3,4,700,1100,suite
3,4,1100,1800,villa
3,5,250,780,deluxe
3,5,780,1250,suite
3,5,1250,2000,villa
4,1,350,650,suite
4,1,650,1100,villa
4,2,350,800,suite
4,2,800,1300,villa
4,3,350,950,suite
4,3,950,1600,villa
4,4,350,1100,suite
4,4,1100,1900,villa
4,5,350,1250,suite
4,5,1250,2200,villa
5,1,500,950,villa
5,2,500,1200,villa
5,3,500,1500,villa
5,4,500,1800,villa
5,5,500,2300,villa
6,1,650,1100,villa
6,2,650,1400,villa
6,3,650,1800,villa
6,4,650,2200,villa
6,5,650,2600,villa
2,7,200,700,standard
2,7,700,1100,deluxe
2,7,1100,1900,suite
3,6,300,950,deluxe
3,6,950,1500,suite
3,6,1500,2300,villa
4,6,400,1400,suite
4,6,1400,2600,villa
1,2,0,180,standard
1,2,180,320,deluxe
1,3,0,220,standard
1,3,220,420,deluxe
2,2,0,180,standard
2,2,180,320,deluxe
2,3,0,240,standard
2,3,240,430,deluxe
3,2,0,300,deluxe
3,2,300,520,suite
4,2,0,420,suite
4,2,420,780,villa
7,1,0,1200,villa
7,2,0,1700,villa
7,3,0,2300,villa
7,4,0,2800,villa
8,1,0,1400,villa
8,2,0,1900,villa
8,3,0,2500,villa
8,4,0,3200,villa
9,1,0,1600,villa
9,2,0,2200,villa
9,3,0,3000,villa
10,1,0,1800,villa
10,2,0,2500,villa
10,3,0,3400,villa
2,8,0,800,standard
2,8,800,1300,deluxe
2,8,1300,2100,suite
3,8,0,1100,deluxe
3,8,1100,1800,suite
3,8,1800,2700,villa
4,8,0,1500,suite
4,8,1500,3000,villa
5,6,700,2600,villa
6,6,800,3000,villa
