user_message,intent,response
Hi,greeting,"Hello! Welcome to Aurora. You can ask me about our rooms, wifi, prices, or how to make a reservation."
Hello,greeting,"Hello! Welcome to Aurora. How may I assist you today? Ask about rooms, wifi, or reservations."
Good morning,greeting,"Good morning! Welcome to Aurora. I can help with room info, wifi, prices, or booking."
Hey there,greeting,"Hi! Welcome to Aurora. Ask me about our rooms, wifi, or how to reserve."
What rooms do you have?,rooms,"We have Standard, Deluxe, Suite, Villa, and Cabin options. Each includes wifi. Tell me your budget or number of guests for a suggestion, or view the Rooms page to see all."
Tell me about your rooms,rooms,"We offer Standard, Deluxe, Suite, Villa, and Cabin. All include complimentary wifi. Say your budget or guest count for a recommendation."
What types of rooms are there?,rooms,"We have Standard, Deluxe, Suite, Villa, and Cabin. Check the Rooms page for details and photos, or tell me your budget."
Do you have suites?,rooms,"Yes. We have Aurora Royal Suite and Aurora Penthouse. Suites include premium amenities. View the Rooms page or tell me your budget."
Is there wifi?,wifi,"Complimentary high-speed wifi is included in all rooms at no extra charge."
Do you have internet?,wifi,"Yes. Free high-speed wifi is included in every room."
What about wifi?,wifi,"Wifi is free and available in all rooms. No extra cost."
How much is a room?,price,"Rates vary by type. Standard starts around ₱150/night; Deluxe, Suite, Villa, and Cabin are higher. Tell me your budget or guests for a suggestion."
What are your rates?,price,"Our Standard room starts around ₱150 per night. Deluxe, Suite, Villa, and Cabin have different rates. Tell me your budget and I can recommend a room."
What's the price range?,price,"Prices range from around ₱150/night for Standard to higher for Deluxe, Suite, Villa, and Cabin. Tell me your budget or number of guests."
I have a budget of 500,price,"With a budget around ₱500, our Suite or Forest Cabin could work well. Browse the Rooms page to see availability and reserve."
How do I book?,reservation,"To reserve: sign in, go to Rooms, choose your room and dates, then confirm. No payment is taken at booking—reservation only."
How do I make a reservation?,reservation,"Sign in, open the Rooms page, pick your room and check-in/check-out dates, then confirm. No payment at booking."
I want to reserve a room,reservation,"Go to the Rooms page, select your room and dates, and confirm. You need to be signed in. No payment is collected at booking."
Can I cancel my booking?,cancellation,"To change or cancel a reservation, please contact the front desk or use the contact details on our website."
How do I cancel?,cancellation,"For cancellations or changes, contact the front desk or the contact information on our website."
What's your contact?,contact,"For assistance, use the contact information on our website or speak to the front desk. You can also manage bookings in your Dashboard after signing in."
How can I contact you?,contact,"Use the contact details on our website or the front desk. Signed-in users can manage bookings in the Dashboard."
I need help,contact,"You can get help via our website contact info or the front desk. If you're signed in, use the Dashboard to manage reservations."
Thank you,thanks,"You're welcome! Enjoy your stay at Aurora."
Thanks,thanks,"You're welcome!"
Thanks a lot,thanks,"You're welcome! Have a great stay."
What amenities are included?,amenities,"All rooms include wifi, quality bedding, and modern amenities. Specific perks like balcony or tub are listed on each room on the Rooms page."
Do you have a gym?,amenities,"Amenities vary by room. Room-specific amenities are on the Rooms page. All rooms include wifi."
I need a room for 2 people,recommendation,"For 2 guests, our Standard or Deluxe rooms are ideal. Tell me your budget or nights and I can suggest one, or view the Rooms page."
We are 4 guests,recommendation,"For 4 guests, consider our Suite or Villa options. Tell me your budget and I can recommend, or browse the Rooms page."
Budget 300 per night,recommendation,"With that budget, our Deluxe or Forest Cabin could work. View the Rooms page to see availability and reserve."
2 guests 3 nights,recommendation,"For 2 guests and 3 nights, our Standard or Deluxe are great. Tell me your budget for a specific suggestion, or check the Rooms page."
Recommend a room,recommendation,"Tell me how many guests, how many nights, and your budget (e.g. ₱500), and I'll suggest a room. Or browse the Rooms page."
Suggest something for a couple,recommendation,"For a couple, our Standard or Deluxe rooms are popular. View Rooms to see details and availability."
I want something cheap,recommendation,"Our Standard room is our most affordable option. Check the Rooms page for current availability and to reserve."
Something luxurious,recommendation,"For luxury, consider our Aurora Royal Suite, Lakeside Villa, or Aurora Penthouse. See the Rooms page for details and to book."
When is check in?,policy,"Check-in and check-out times are usually listed on your confirmation. For specific times, contact the front desk or our website."
Do I pay now?,policy,"No payment is collected at booking. This is reservation only. Payment can be arranged at check-in if required."
