user_message,intent,response
hi,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
hello,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
hey,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
good morning,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
good afternoon,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
good evening,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
kamusta,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
kumusta,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
hello po,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
hi aurora,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
hey aurora,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
yo aurora,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
good day,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
hi assistant,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
hello there,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
sup aurora,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
hi po,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
hello again,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
what rooms do you have,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
room types,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
available rooms,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
ano mga room types,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
may rooms ba kayo,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
show me rooms,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
tell me room options,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
room list please,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
do you have suite,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
may villa ba,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
may cabin ba,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
room typess,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
rooom types,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
what kind of rooms,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
list rooms available,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
how much is room,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
room price,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
magkano room,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
price per night,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
