guests,nights,room_type,price,rating
1,1,0,1200,3.8
2,2,1,2500,4.2
2,3,2,4200,4.7
4,2,2,3500,4.8
3,4,1,3000,4.5
1,1,0,1100,3.6
2,2,1,2400,4.1
5,3,2,5000,4.9
4,2,2,3600,4.6
2,1,1,2300,4.0
3,3,1,3100,4.4
2,2,0,2100,4.1
1,1,0,1000,3.7
4,4,2,4800,4.8
5,2,2,5200,5.0
1,1,0,950,3.5
1,2,0,1300,3.9
1,3,0,1650,4.0
1,4,0,2100,4.1
2,1,0,1200,3.8
2,2,0,1800,4.0
2,3,0,2400,4.1
2,4,0,3000,4.2
2,1,1,2200,4.0
2,2,1,2600,4.2
2,3,1,3200,4.4
2,4,1,3800,4.5
3,1,1,2400,4.1
3,2,1,3000,4.3
3,3,1,3600,4.5
3,4,1,4200,4.6
4,1,1,2700,4.2
4,2,1,3400,4.4
4,3,1,4100,4.6
4,4,1,4700,4.7
3,1,2,3200,4.4
3,2,2,3900,4.6
3,3,2,4600,4.7
3,4,2,5300,4.8
4,1,2,3500,4.5
4,2,2,4200,4.7
4,3,2,4900,4.8
4,4,2,5600,4.9
5,1,2,3900,4.6
5,2,2,4700,4.8
5,3,2,5500,4.9
5,4,2,6200,5.0
6,1,2,4300,4.7
6,2,2,5100,4.9
6,3,2,5900,5.0
6,4,2,6600,5.0
1,1,1,2000,3.9
1,2,1,2600,4.1
1,3,1,3100,4.2
2,1,2,3000,4.3
2,2,2,3600,4.5
2,3,2,4300,4.6
3,5,1,4800,4.6
3,5,2,6200,4.9
4,5,2,6700,5.0
2,5,0,3600,4.2
2,5,1,4700,4.5
1,6,0,3900,4.1
2,6,1,5400,4.6
3,6,2,7000,5.0
1,2,0,1400,3.8
2,2,0,1700,3.9
2,2,1,2800,4.3
4,2,2,4500,4.8
5,2,2,5000,4.9
1,1,0,1050,3.6
2,1,1,2350,4.0
3,2,1,3050,4.4
4,3,2,5100,4.9
6,2,2,5400,5.0
7,2,2,5900,4.9
7,3,2,6500,5.0
8,2,2,6200,4.9
8,3,2,6900,5.0
9,2,2,6600,5.0
10,2,2,7200,5.0
2,7,0,4200,4.3
2,7,1,5600,4.7
3,7,1,6200,4.8
4,7,2,7600,5.0
5,6,2,7400,5.0
6,6,2,8000,5.0
1,7,0,4700,4.2
1,8,0,5200,4.3
2,8,1,6100,4.8
3,8,2,7900,5.0
